id,BG,AG,HA,ED,HE,SE
1,1,3,1,1, ,1
2,0,0,1,5,3,0
3,0,3, ,4,1,0
4,0,3,2,7,2,0
5,1,2,1,4,3,2
6,0,2,0,1,2,0
7,2,1,0,1,0,0
8,2, ,1,10,0,2
9,1, ,0,8,1,1
10,0, ,0,0, ,2
11,0,4,0,3,0, 
12,2,4,0,0,1,0
13,1,2,1, , ,0
14,2,2,1,7,1,0
15,1,1,2,6,3,0
16, ,1,2,4,0,1
17,1,2, ,2, ,2
18,2,2,0,1,1,1
19,2,1, ,9,1,2
20, , ,1,3,2, 
21,0, ,2,3, ,1
22,0,1,0,5,2,0
23,0,1,1,4,3,1
24,2,0,0,9,1,0
25, ,1,0,10, ,0
26,0,2, ,7, ,2
27,0,3,2, ,3,0
28,2, , ,6,3,0
29,0,1,2,3,2,1
30,1,3,2,2,0,0
31,0,1,0,4,2,0
32,1,0, ,9,1,1
33,1,1,2,3,3, 
34, ,0,2,0,0,1
35,2,1,2,5,0,0
36,1,1,2,9, ,1
37,2,4,2, ,2,2
38,1,3,2,0,0,0
39,2,2,1, ,3,2
40,1,0,2,0,0, 
41,1,0,1,3,0,1
42,0,1,0,6, ,2
43,0,3,2,3,3,0
44,0,3,2,6,3, 
45,0,0,1,1,3,0
46,2,4,2,2,2,0
47,0,1,1,4,3,2
48,0,2,0,1,0,1
49,0,0,2,6,1,0
50,2,0,2,7,1,1
51,2,1,2,2,0,2
52,1,1,2,4,0,2
53,1,2,1,0,3, 
54,0,2, ,1, ,2
55,2,1,1, ,0,1
56, ,2,0,3,3,2
57,1, ,2,9,3,2
58,0,4,2,0, , 
59,0,4,1,2,3,2
60,1,1,1,0,2,1
61,1,4,0,7,1,2
62,2,1,0,8,2,0
63,2,1,0,5,3,2
64,1,2,1,6,1,2
65,1,1, ,10,0,0
66,2,2,0, ,1,2
67,1,4,1,4,2,2
68,1,4,0,2,2, 
69,0,0,2,5,0,2
70,1,2,2,3,3,2
71,0,3, ,1, ,1
72,1, ,2,2,3,0
73,1,1,0,7,1,0
74,0,1,2,10,1,2
75,0, ,0,6,3,2
76,1,4, ,1,1, 
77,0,0,0,5,0,0
78,0,0,0, ,3, 
79,0,1,0,10,3,0
80,1,3, ,0,0,2
81,0,2,0,9,1,2
82,0,3,0,1, , 
83,0,4,2,0,0,0
84,1,1,0,5, ,2
85,0,4,0,7, , 
86,0,1,0,8,1,2
87,2,0,1,8, ,2
88,2,1,0,6,3,0
89,1,0,2,0,1,2
90,2,1,2, ,2,2
91,1,2,2,7,0,2
92,2,3,0,9,2,0
93,2,4,2, ,3,1
94,0,0,0,10,3,0
95,1,0,1,3,1,1
96,1,0,1,7,2,2
97,0,3,0,9,2,0
98,1,2,1,1,2,2
99,0,0,1,9,0,1
100,2,0,0, ,3,0
101,0, , ,0,2, 
102,2,0, ,6, ,0
103,0,1, ,10, ,1
104,1,2,1,9,2,1
105,1,2,1,8,3,2
106,2,1,0,9,0,0
107,2,1,2,9,3, 
108,2,0,0,5, ,1
109,0,4,2,10,1, 
110,2,1,1,7,0, 
111,0,0,1,1, ,2
112,0,3,0, ,1,2
113,2,4,2,5,2,0
114,1,3,0,3,2,0
115,0,2,0,10,3,1
116,0,4,0,9,2,1
117,1,1,0,0,0,1
118,0,2,2,5,0,1
119,0,1,0,4,3,2
120,0,3,2,4, ,2
121,1,1,1,0,2,0
122,0, , ,5,2,0
123,0,4,2,8,1,1
124,1, ,2, , ,0
125,2,1,0,5,0,1
126,2,2, ,3,1,2
127,2,2,0, ,0,0
128,0,2,1,3,1,1
129, ,2, ,10,1, 
130,1,2,0,2,1,2
131,0,0,2, ,2,1
132, ,2,0,5,0,2
133,1,4,2,8,3,1
134,1,1,2,5,0,2
135,0,3,2,0,2,1
136,1,4,1,0,2,1
137,0,1,2, ,2,2
138,0,4,1,7,1,0
139, ,1, ,1,1,1
140,2,0,0,2,3,0
141,1,2, ,7,0,1
142,2,3,1,10,0,2
143,1,4,1,2,2, 
144,0,0,2,7,1,2
145,2,1,0,3, ,0
146,2, ,2,0,3,2
147,0,1,1,1,1,0
148,1,0,2,5,3,2
149,0,2,0,8,2,1
150,2,0,1,9,0,2
151,1,3,2,3,0,1
152,1,3,0, ,0,0
153, ,1,2,5,1,0
154,1,4,1,9,0,0
155,1,0,2,4,1,2
156,2,1,1, ,0,2
157,2,2,1,3,3,1
158,1,3,0,3,0,0
159, ,4,2,7,3,1
160,1,2,1,9,1,2
161, ,3,0,7,2,1
162,1,2,1,1,2,1
163,0,2,0,1,2,0
164,1,2,2,10,2,1
165,0,2,2,7, ,0
166,0,2,0,2,3,2
167,2, ,1,10,2,2
168,0,0,2,8,0, 
169, ,4,1,7,3,1
170, , , , ,0,1
171,2,2,2,5,2,0
172, ,1,1,3,1,0
173,2,4,2,3,2,0
174,1,4,2,3,3,1
